DfE,Establishment Name,Formerly Known As,Phase of Education,Type of Establishment,Selective,Faith,Gender,Capacity,StatutoryLowAge,StatutoryHighAge,Headteacher,HeadPreferredJobTitle,Street,Locality,Address3,Town,County,Postcode,Ward,District,Telephone Number,Email,Website,LastUpdated,latitude,longitude,SCHOOL NAME,PAN,Cut off Distances 2017,Cut off Distance 2016,Cut off Distance 2015,Cut off Distance 2014,Cut off Distance 2013
4300,Sutton Coldfield Grammar School for Girls,,Secondary,Academy Converter,Yes,,Girls,1000,11,18,Mrs M Shackleton,Headteacher,Jockey Road,,,Sutton Coldfield,West Midlands,B73 5PT,Sutton Vesey,Sutton Coldfield,0121 3541479,enquiry@suttcold.bham.sch.uk,http://www.suttcold.bham.sch.uk/scgsg/index.php,7/16/15,52.5536784,-1.8297227,Sutton Coldfield Grammar School for Girls,180,4771,2500,11625,10862,8268
4237,Swanshurst School,,Secondary,Community School,,,Girls,1781,11,19,Debbie James,Headteacher,Brook Lane,Billesley,,Birmingham,West Midlands,B13 0TW,Billesley,Selly Oak,0121 4642400,enquiry@swans.bham.sch.uk,http://www.swanshurst.org/,9/22/15,52.4303862,-1.8722647,Swanshurst School,300,737,1794,9240,9138,3906
4307,The Arthur Terry School,,Secondary,Academy Converter,,,Mixed,1720,11,19,Mr Neil Warner,Headteacher,Kittoe Road,Four Oaks,,Sutton Coldfield,West Midlands,B74 4RZ,Sutton Four Oaks,Sutton Coldfield,0121 3232221,enquiry@arthurterry.bham.sch.uk,http://www.arthurterry.bham.sch.uk/,11/5/15,52.5903494,-1.8382672,Arthur Terry School (The),240,7726,4565,1338,3158,10479
4244,The International School,,Secondary,Community School,,,Mixed,847,11,16,Mr Chris Etheridge,Headteacher,Gressel Lane,Tile Cross,,Birmingham,West Midlands,B33 9UF,Shard End,Hodge Hill,0121 5666400,enquiry@internationalsch.org.uk,http://www.tisbham.org/,2/10/17,52.4823276,-1.7718383,International School (The),120,8532,11444,4315,11410,4432
4014,The University of Birmingham School,,Secondary,Free Schools,,,Mixed,1150,11,19,Mr Michael Roden,Principal,Weoley Park Road,,Selly Oak,Birmingham,West Midlands,B29 6QU,Weoley,Northfield,0121 7965000,reception@uobschool.org.uk,http://www.universityschool.bham.ac.uk/,9/27/16,52.4368026,-1.9495204,University of Birmingham School (The),150,5718,8514,1347,3983,10299
4188,Turves Green Boys' School,,Secondary,Community School,,,Boys,625,11,16,Mr Simon Franks,Headteacher,Turves Green,Northfield,,Birmingham,West Midlands,B31 4BS,Northfield,Northfield,0121 4832890,contact@tgbs.co.uk,http://www.tgbs.co.uk/,12/22/16,52.3971681,-1.9726669,Turves Green Boys School,150,4525,10445,5209,3444,8740
4187,Turves Green Girls' School,Turves Green Girls' School and Technology College,Secondary,Foundation School,,,Girls,750,11,16,Mr Richard Crookes,Headteacher,Turves Green,Northfield,,Birmingham,West Midlands,B31 4BP,Northfield,Northfield,0121 4648346,enquiry@turvgng.bham.sch.uk,http://www.turvgng.bham.sch.uk/,4/26/16,52.4035104,-1.9666323,Turves Green Girls' School and Technology College,150,11610,2103,5007,7710,5908
4084,Washwood Heath Academy,Washwood Heath Technology College,Secondary,Academy Converter,,,Mixed,1476,11,18,Mrs Heather McLachlan,Head of Academy,Burney Lane,Stechford,,Birmingham,West Midlands,B8 2AS,Washwood Heath,Hodge Hill,0121 6757272,enquiry@washwoodheath.bham.sch.uk,http://washwoodheath.com/,11/2/16,52.4895089,-1.8205302,Washwood Heath Academy,260,6573,1822,7075,8153,4361
4010,Waverley Studio College,,Secondary,Free Schools,,,Mixed,300,14,19,Sofia Darr,Principal,470 Belchers Lane,Bordesley Green,,Birmingham,West Midlands,B9 5SX,Bordesley Green,Hodge Hill,0121 5666622,enquiry@waverleystudiocollege.co.uk,http://waverleystudiocollege.co.uk/,2/20/17,52.4800232,-1.8329796,,,3042,6456,5273,9287,7906
4193,Wheelers Lane Technology College,,Secondary,Community School,,,Boys,532,11,16,Diane Henson,Headteacher,Wheelers Lane,Kings Heath,,Birmingham,West Midlands,B13 0SF,Moseley and Kings Heath,Hall Green,0121 4442864,enquiry@wheelerslane.bham.sch.uk,http://www.wheelerslane.bham.sch.uk/,7/25/16,52.4256526,-1.8905213,Wheelers Lane Technology College,125,10695,2941,4968,2486,10872
4246,Yardleys School,,Secondary,Academy Converter,,,Mixed,900,11,16,Mr Brynley Evans,Headteacher,Reddings Lane,Tyseley,,Birmingham,West Midlands,B11 3EY,Acocks Green,Yardley,0121 4646821,enquiry@yardleys.bham.sch.uk,http://www.yardleys-vle.com,9/2/15,52.4524173,-1.8457251,Yardleys School,180,2037,1598,10964,11442,11738
